epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,85.7429,1.06487,2.56337,1.16424,1,0.03162,0.87101,0.56061,0.96668,3.44956,1.05456,0.000647619,0.000647619,0.000647619
2,167.85,1.0922,1.84926,1.10467,0.71638,0.62372,0.64979,0.47948,0.99047,3.17215,1.10603,0.00128826,0.00128826,0.00128826
3,252.273,1.11308,1.66125,1.13639,0.31455,0.32099,0.23041,0.10028,1.39175,3.68897,1.33214,0.00190251,0.00190251,0.00190251
4,334.459,1.15055,1.66807,1.16598,0.66063,0.69136,0.6722,0.46664,1.0429,2.38064,1.17661,0.0018812,0.0018812,0.0018812
5,417.287,1.05354,1.44812,1.13126,0.68962,0.58025,0.64382,0.42257,1.1368,2.73459,1.16397,0.0018416,0.0018416,0.0018416
6,497.012,1.12753,1.38626,1.1659,0.77637,0.95062,0.92097,0.64729,0.96883,1.86742,1.11505,0.001802,0.001802,0.001802
7,576.909,1.05062,1.27287,1.16237,0.88957,0.90123,0.94796,0.68873,0.94068,1.54465,1.0992,0.0017624,0.0017624,0.0017624
8,678.097,1.0643,1.18884,1.11518,0.94225,0.85185,0.94503,0.68745,0.95892,1.37114,1.11568,0.0017228,0.0017228,0.0017228
9,775.318,1.01085,1.13131,1.1441,0.94375,0.91358,0.96329,0.70095,0.90263,1.17397,1.08652,0.0016832,0.0016832,0.0016832
10,871.09,1.00984,1.09151,1.11469,0.84977,0.93827,0.94554,0.6766,1.0539,1.30852,1.10087,0.0016436,0.0016436,0.0016436
11,970.422,1.02814,1.04634,1.14753,0.91378,0.96296,0.9725,0.74339,0.85279,1.05872,1.03231,0.001604,0.001604,0.001604
12,1083.89,0.97118,0.98531,1.10334,0.91878,0.93827,0.96666,0.76749,0.78953,1.00464,1.00117,0.0015644,0.0015644,0.0015644
13,1181.62,0.91884,0.83572,1.05492,0.94818,0.97531,0.97158,0.78249,0.77817,0.85258,1.01635,0.0015248,0.0015248,0.0015248
14,1276.09,0.93853,0.88341,1.06769,0.94603,0.96296,0.97509,0.7955,0.82007,0.85947,1.01234,0.0014852,0.0014852,0.0014852
15,1369.53,0.90196,0.81834,1.03886,0.90612,0.96296,0.96469,0.76552,0.79106,0.77073,1.05782,0.0014456,0.0014456,0.0014456
16,1464.1,0.90199,0.82185,1.07536,0.97553,0.98436,0.98463,0.79232,0.84563,0.74143,1.03113,0.001406,0.001406,0.001406
17,1558.3,0.9037,0.80555,1.05882,0.92937,0.98765,0.97955,0.79479,0.76413,0.76389,0.9868,0.0013664,0.0013664,0.0013664
18,1652.39,0.91918,0.84273,1.09302,0.96284,0.95981,0.97766,0.79435,0.86509,0.73014,1.07333,0.0013268,0.0013268,0.0013268
19,1746.6,0.84746,0.74148,1.05139,0.95306,0.96296,0.97938,0.79639,0.71581,0.70771,0.97487,0.0012872,0.0012872,0.0012872
20,1840.39,0.87664,0.76575,1.0545,0.95068,0.95184,0.98053,0.78649,0.78726,0.71158,1.01145,0.0012476,0.0012476,0.0012476
21,1934.53,0.91215,0.76997,1.11287,0.93906,0.9512,0.97186,0.79841,0.7256,0.69207,0.97634,0.001208,0.001208,0.001208
22,2029,0.85102,0.71066,1.01241,0.93788,0.95062,0.97154,0.78563,0.77605,0.73686,0.98295,0.0011684,0.0011684,0.0011684
23,2115.38,0.86857,0.7733,1.06469,0.971,0.96296,0.97741,0.79576,0.69972,0.66559,0.96316,0.0011288,0.0011288,0.0011288
24,2198.49,0.80311,0.69644,1.0223,0.9754,0.97916,0.98326,0.80194,0.73725,0.62646,0.97069,0.0010892,0.0010892,0.0010892
25,6023.47,0.85164,0.72817,1.08363,0.96977,0.98765,0.98451,0.79647,0.77963,0.61698,0.97604,0.0010496,0.0010496,0.0010496
26,6121.98,0.80461,0.62175,1.00168,0.98757,0.98765,0.9834,0.79453,0.73272,0.62173,0.97001,0.00101,0.00101,0.00101
27,6222.15,0.81438,0.63295,1.02828,0.9508,0.98765,0.98365,0.81462,0.7583,0.60769,0.97784,0.0009704,0.0009704,0.0009704
28,6317.29,0.78545,0.63348,1.00816,0.96318,0.96884,0.9828,0.82085,0.69223,0.5677,0.96941,0.0009308,0.0009308,0.0009308
29,6411.52,0.75614,0.60457,1.01008,0.98081,0.95062,0.98194,0.8081,0.70258,0.5752,0.97669,0.0008912,0.0008912,0.0008912
30,6507.27,0.75358,0.62947,1.00137,0.98506,0.96296,0.97334,0.83304,0.71313,0.54774,0.98019,0.0008516,0.0008516,0.0008516
31,6749.4,0.77092,0.61186,0.99347,0.98666,0.97531,0.97616,0.81659,0.79481,0.56836,1.01316,0.000812,0.000812,0.000812
32,6847.01,0.80103,0.59618,1.00333,0.97435,0.98765,0.98451,0.81278,0.69724,0.49656,0.96388,0.0007724,0.0007724,0.0007724
33,6944.37,0.78642,0.60617,1.00943,0.98678,0.96296,0.98428,0.84015,0.64674,0.49171,0.95056,0.0007328,0.0007328,0.0007328
34,7041.29,0.76254,0.58938,0.98565,1,0.97092,0.9842,0.82945,0.64363,0.53438,0.96196,0.0006932,0.0006932,0.0006932
35,7135.97,0.69405,0.54507,0.97668,0.98763,0.98577,0.98438,0.83261,0.69655,0.50676,0.95612,0.0006536,0.0006536,0.0006536
36,7229.67,0.75102,0.56646,1.01861,0.98555,0.97531,0.98232,0.80743,0.75336,0.50931,1.00981,0.000614,0.000614,0.000614
37,7324.66,0.73813,0.5626,1.00126,0.98747,0.97268,0.98297,0.81577,0.68097,0.50166,0.97079,0.0005744,0.0005744,0.0005744
38,7419.08,0.75225,0.57874,1.01011,0.98746,0.97213,0.98276,0.82671,0.67294,0.50503,0.97571,0.0005348,0.0005348,0.0005348
39,7505.93,0.71929,0.54177,0.97845,0.9873,0.96296,0.98218,0.82645,0.64933,0.48037,0.94662,0.0004952,0.0004952,0.0004952
40,7589.69,0.70142,0.53801,0.97986,0.9858,0.97531,0.98326,0.85358,0.62128,0.45319,0.94982,0.0004556,0.0004556,0.0004556
41,8916.67,0.62013,0.47696,0.93527,0.98763,0.98605,0.98302,0.86241,0.5728,0.42857,0.92263,0.000416,0.000416,0.000416
42,15800.2,0.60673,0.46388,0.94173,0.98764,0.98654,0.9834,0.83905,0.63787,0.46009,0.94116,0.0003764,0.0003764,0.0003764
43,24246.6,0.58991,0.44832,0.92441,0.98627,0.97531,0.98226,0.82851,0.69523,0.48915,0.96434,0.0003368,0.0003368,0.0003368
44,24342.1,0.60182,0.45322,0.92365,0.97346,0.97531,0.98401,0.83996,0.62224,0.44208,0.93476,0.0002972,0.0002972,0.0002972
45,24443,0.57753,0.43687,0.91167,0.98763,0.98585,0.98463,0.83441,0.64073,0.44462,0.95236,0.0002576,0.0002576,0.0002576
46,24578,0.58837,0.42948,0.90563,0.98736,0.98765,0.98377,0.84657,0.62714,0.44092,0.95054,0.000218,0.000218,0.000218
47,24678.9,0.57773,0.43811,0.92368,0.9858,0.97531,0.98388,0.85528,0.59594,0.43163,0.93686,0.0001784,0.0001784,0.0001784
48,24787.4,0.57015,0.42872,0.92289,0.9858,0.97531,0.98339,0.86513,0.58667,0.42486,0.93327,0.0001388,0.0001388,0.0001388
49,24887.7,0.55746,0.41215,0.89964,0.98557,0.97531,0.98315,0.85902,0.5836,0.42969,0.93393,9.92e-05,9.92e-05,9.92e-05
50,24990,0.55775,0.41246,0.91028,0.98572,0.97531,0.98254,0.85663,0.59021,0.42939,0.94027,5.96e-05,5.96e-05,5.96e-05
